Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
663ba86f54b18e871193e91d,65675bf1cebf57f45586d9a2,APPROVED,Not Applicable,2024-05-08T16:30:35.259000Z,2024-05-08T17:51:51.714000Z,2024-05-14T15:31:50.633000Z,2024-05-08T17:51:52.497933Z,4877.0,CJFYZJY7,355,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
663ba885905a01459c79129c,6340ae1dbc05980f88bc4a29,APPROVED,Not Applicable,2024-05-08T16:30:03.533000Z,2024-05-08T17:03:29.202000Z,2024-05-14T15:31:50.970000Z,2024-05-08T17:03:29.687070Z,2006.0,CJFYZJY7,195,35,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
663ba8ced78fab564ac1a9a4,5a4ff86beedc32000141f232,APPROVED,Not Applicable,2024-05-08T16:36:06.321000Z,2024-05-08T17:22:10.619000Z,2024-05-14T15:31:51.161000Z,2024-05-08T17:22:11.371314Z,2765.0,NOCODE,1507,46,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
663babcb5cefa82f9e456682,663a7eacab8224a40a9fc682,APPROVED,Not Applicable,2024-05-08T16:44:05.571000Z,2024-05-08T17:29:40.130000Z,2024-05-14T15:31:51.424000Z,2024-05-08T17:29:40.627671Z,2735.0,CJFYZJY7,4,45,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
663ddbcf3f308646f2acb20c,658fbb9f64bcbcfb43e3d925,APPROVED,Not Applicable,2024-05-10T08:33:36.672000Z,2024-05-10T09:41:28.074000Z,2024-05-14T15:31:51.618000Z,2024-05-10T09:41:28.608962Z,4072.0,CJFYZJY7,314,40,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
663ddbd29634de6591de00c8,628f0d7e3055b5d1887916c5,APPROVED,Not Applicable,2024-05-10T08:33:22.182000Z,2024-05-10T09:06:15.989000Z,2024-05-14T15:31:51.835000Z,2024-05-10T09:06:16.547856Z,1974.0,CJFYZJY7,2543,31,Male,White,United States,United States,United States,English,No,Full-Time
663ddeac2272b31b29962fea,607ba9f40639e8a2c931d622,APPROVED,Not Applicable,2024-05-10T08:45:43.894000Z,2024-05-10T09:17:38.215000Z,2024-05-14T15:31:52.030000Z,2024-05-10T09:17:38.702718Z,1915.0,CJFYZJY7,1645,48,Female,White,United States,United States,United States,English,No,Full-Time
663de6567b200d36c8ab8d7e,63026053812fe400f2929701,APPROVED,Not Applicable,2024-05-10T09:18:14.828000Z,2024-05-10T10:31:52.354000Z,2024-05-14T15:31:52.270000Z,2024-05-10T10:31:56.239430Z,4418.0,CJFYZJY7,2801,39,Male,Mixed,United States,United States,United States,Spanish,No,DATA_EXPIRED
66421d03add53411fe336605,63eb78a1fc614fd7af392873,APPROVED,Not Applicable,2024-05-13T14:00:35.908000Z,2024-05-13T15:40:46.780000Z,2024-05-14T15:31:52.484000Z,2024-05-13T15:41:20.689034Z,6011.0,CJFYZJY7,3753,59,Male,Asian,Bangladesh,United States,United States,English,Yes,Full-Time
66421d04e6001757f3ed5cf2,5d8d12f6d88e3a00142c9751,APPROVED,Not Applicable,2024-05-13T14:02:09.709000Z,2024-05-13T14:34:49.444000Z,2024-05-14T15:31:52.666000Z,2024-05-13T14:34:50.090223Z,1960.0,CJFYZJY7,5580,38,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66421d052272abb8952424b5,662a38099b08aa34a386fbdc,APPROVED,Not Applicable,2024-05-13T14:00:55.486000Z,2024-05-13T14:59:28.287000Z,2024-05-14T15:31:52.872000Z,2024-05-13T14:59:28.873855Z,3513.0,CJFYZJY7,99,27,Female,Black,United States,United States,United States,English,Yes,Full-Time
66421d058fe1827adb402637,6609619feb79146b62811775,APPROVED,Not Applicable,2024-05-13T14:00:47.456000Z,2024-05-13T14:39:40.278000Z,2024-05-14T15:31:53.067000Z,2024-05-13T14:42:09.375219Z,2333.0,CJFYZJY7,294,39,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
664362e7fde8f9ed192409f7,65ffe71fe10a96d56d6b55d9,APPROVED,Not Applicable,2024-05-14T13:11:10.574000Z,2024-05-14T13:57:07.647000Z,2024-05-14T15:31:53.256000Z,2024-05-14T13:57:08.133677Z,2758.0,CJFYZJY7,439,39,Female,Black,United States,United States,United States,English,Yes,Full-Time
664362e88797fd22dadbc691,6630f43de5e7094493ad78ec,APPROVED,Not Applicable,2024-05-14T13:11:11.181000Z,2024-05-14T14:07:21.870000Z,2024-05-14T15:31:53.455000Z,2024-05-14T14:07:22.361226Z,3371.0,CJFYZJY7,91,34,Female,Asian,China,United States,China,Chinese,No,Full-Time
66436324e64d44628b9c8ff9,66399f327bcc9d26d0dc7542,APPROVED,Not Applicable,2024-05-14T13:14:46.707000Z,2024-05-14T14:00:52.618000Z,2024-05-14T15:31:53.655000Z,2024-05-14T14:00:53.215667Z,2766.0,CJFYZJY7,32,45,Female,Asian,Bangladesh,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66436728df1abc209d06dd35,57dd186e6598aa0001992616,APPROVED,Not Applicable,2024-05-14T13:31:17.379000Z,2024-05-14T14:30:05.264000Z,2024-05-14T15:31:53.860000Z,2024-05-14T14:30:06.743351Z,3528.0,CJFYZJY7,7612,30,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time
664770d204254dc95ff04492,62c84ca82b03c9aedbca4a2a,APPROVED,Not Applicable,2024-05-17T15:00:02.371000Z,2024-05-17T15:46:32.910000Z,2024-05-27T14:40:42.398000Z,2024-05-17T15:47:32.973096Z,2791.0,CJFYZJY7,2225,43,Female,White,United States,United States,United States,English,No,Full-Time
664770e9dc6fe0b354e2e8ca,5b22d2c260c40e000103b157,APPROVED,Not Applicable,2024-05-17T15:00:27.139000Z,2024-05-17T15:47:20.058000Z,2024-05-27T14:40:42.770000Z,2024-05-17T15:48:16.294496Z,2813.0,CJFYZJY7,1715,57,Female,White,United States,United States,United States,English,No,Full-Time
664b4b76b0cdec5515489e63,64033cb754a87f6c919f305a,APPROVED,Not Applicable,2024-05-20T13:09:16.771000Z,2024-05-20T13:49:09.199000Z,2024-05-27T14:40:43.069000Z,2024-05-20T13:52:04.201812Z,2393.0,CJFYZJY7,942,54,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
