Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
666b401fe0ea200eb289a65d,6413599c09e145dd93c7aeac,APPROVED,Not Applicable,2024-06-13T18:53:23.122000Z,2024-06-13T19:31:17.529000Z,2024-06-14T15:37:08.897000Z,2024-06-13T19:34:26.819413Z,2275.0,CJFYZJY7,143,31,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
666b40d74862c11dcf414eca,66696c2b8740c3864590e2c2,APPROVED,Not Applicable,2024-06-13T18:56:32.610000Z,2024-06-13T20:33:51.874000Z,2024-06-14T15:37:09.359000Z,2024-06-13T20:36:48.293424Z,5840.0,CJFYZJY7,1,50,Male,Black,Nigeria,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
666b413442196caf021bfe53,6653fb8b090f748c8c978be2,APPROVED,Not Applicable,2024-06-13T18:58:05.902000Z,2024-06-13T19:32:08.792000Z,2024-06-14T15:37:09.730000Z,2024-06-13T19:35:04.860091Z,2043.0,CJFYZJY7,1,42,Female,White,United States,United States,United States,English,No,Full-Time
666b414569db91baeb55fd61,665740a2e45a259924fc318b,APPROVED,Not Applicable,2024-06-13T18:59:42.814000Z,2024-06-13T20:29:57.693000Z,2024-06-14T15:37:10.149000Z,2024-06-13T20:35:31.858147Z,5415.0,CJFYZJY7,0,39,Male,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
666b414a497336e911c0406f,604b682a8b6ed9694d8e48aa,APPROVED,Not Applicable,2024-06-13T18:58:33.674000Z,2024-06-13T19:35:16.402000Z,2024-06-14T15:37:10.639000Z,2024-06-13T20:37:10.360151Z,2203.0,CJFYZJY7,2646,26,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
666b419ac4a67ebdfe373de0,655e1e078be734de39615eea,APPROVED,Not Applicable,2024-06-13T18:59:43.828000Z,2024-06-13T19:37:45.999000Z,2024-06-14T15:37:11.166000Z,2024-06-13T19:37:46.678811Z,2283.0,CJFYZJY7,249,32,Female,White,United States,United States,United States,English,No,Full-Time
666b4e799e1bf05141384cd2,6668d23429002d8ae4165240,APPROVED,Not Applicable,2024-06-13T19:55:01.633000Z,2024-06-13T20:48:56.008000Z,2024-06-14T15:37:12.027000Z,2024-06-13T20:51:14.616923Z,3235.0,CJFYZJY7,17,43,Female,White,Croatia,United States,Croatia,English,No,Other
666c63b8a2ee06df40e0e9cc,5c8db07eb1f89a0016777fe0,APPROVED,Not Applicable,2024-06-14T15:37:32.595000Z,2024-06-14T16:13:27.308000Z,2024-06-25T12:23:53.148000Z,2024-06-14T16:14:07.501172Z,2155.0,CJFYZJY7,5207,36,Female,White,United States,United States,United States,English,No,Full-Time
667ada04c1a178605b54182d,5bc820000760100001b3b267,APPROVED,Not Applicable,2024-06-25T14:54:03.058000Z,2024-06-25T15:30:53.267000Z,2024-07-01T15:26:11.456000Z,2024-06-25T15:30:53.811480Z,2211.0,CJFYZJY7,36,32,Female,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED
667ada137641f64050c75f02,65e8e95ab6267d05c6c22005,APPROVED,Not Applicable,2024-06-25T14:54:33.069000Z,2024-06-25T15:29:23.046000Z,2024-07-01T15:26:11.987000Z,2024-06-25T15:29:23.673179Z,2090.0,CJFYZJY7,217,28,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667ada31c8f83982a4b3147e,665a8db299aa3f8fb8ff8c4d,APPROVED,Not Applicable,2024-06-25T14:55:03.919000Z,2024-06-25T15:40:04.598000Z,2024-07-01T15:26:12.283000Z,2024-06-25T15:40:32.063014Z,2701.0,CJFYZJY7,14,34,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
667ada431544d32d45c81eb5,66558ce8a1a2cbf68fdbab18,APPROVED,Not Applicable,2024-06-25T14:55:03.772000Z,2024-06-25T15:32:52.748000Z,2024-07-01T15:26:12.533000Z,2024-06-25T15:32:53.625331Z,2269.0,CJFYZJY7,139,34,Male,Asian,Philippines,United States,United States,English,Yes,DATA_EXPIRED
667ada867f6a1c17a5364f19,5ba4057af0741400010637b9,APPROVED,Not Applicable,2024-06-25T14:56:16.077000Z,2024-06-25T15:54:07.626000Z,2024-07-01T15:26:12.781000Z,2024-06-25T15:54:08.147772Z,3472.0,CJFYZJY7,3114,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
667adaf61f4864be87c74232,66310518d6bdfc4aa8b5dc2b,APPROVED,Not Applicable,2024-06-25T14:58:02.636000Z,2024-06-25T15:34:43.147000Z,2024-07-01T15:26:13.083000Z,2024-06-25T15:35:53.839703Z,2201.0,CJFYZJY7,4,38,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
667adb2177e2399c4bc7d41d,5f2bf7aa253520000bfc83b6,APPROVED,Not Applicable,2024-06-25T14:58:49.124000Z,2024-06-25T15:40:38.710000Z,2024-07-01T15:26:13.351000Z,2024-06-25T15:40:42.849757Z,2510.0,CJFYZJY7,7001,28,Female,White,United States,United States,United States,English,No,Full-Time
667adb36632174b31ceb08aa,663e32bc61ceab9a8a40955e,APPROVED,Not Applicable,2024-06-25T14:59:25.842000Z,2024-06-25T16:05:05.654000Z,2024-07-01T15:26:13.642000Z,2024-06-25T16:05:06.159444Z,3940.0,CJFYZJY7,193,45,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
667adb598854702d07c89134,5fc7a6aaa7646c0009521161,APPROVED,Not Applicable,2024-06-25T14:59:41.758000Z,2024-06-25T15:38:37.984000Z,2024-07-01T15:26:13.901000Z,2024-06-25T15:38:39.183973Z,2337.0,CJFYZJY7,6267,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
