Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66c7aac4c635b5f8facf22b4,5deb3ffdf375c625fa83bac7,APPROVED,Not Applicable,2024-08-22T21:16:52.960000Z,2024-08-22T22:05:39.727000Z,2024-08-25T23:12:00.046000Z,2024-08-22T22:07:28.779429Z,2927.0,CJFYZJY7,4773,26,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c7aacd0bb643c693ede829,66c08705206a200d6fd48868,APPROVED,Not Applicable,2024-08-22T21:17:19.051000Z,2024-08-22T22:48:56.581000Z,2024-08-25T23:12:00.447000Z,2024-08-22T22:49:02.481350Z,5498.0,CJFYZJY7,2,22,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c7aacffa32098a5c4c5880,6500b20399acf445cba1272f,APPROVED,Not Applicable,2024-08-22T21:17:11.407000Z,2024-08-22T22:00:40.595000Z,2024-08-25T23:12:01.551000Z,2024-08-22T22:00:41.401617Z,2610.0,CJFYZJY7,5,52,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66c7aae4a7448a6e830afcd2,667dde1f1074ad90939b41ee,APPROVED,Not Applicable,2024-08-22T21:17:30.294000Z,2024-08-22T22:02:54.300000Z,2024-08-25T23:12:01.818000Z,2024-08-22T22:02:55.296566Z,2725.0,CJFYZJY7,35,19,Female,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
66c7aaf7195ca54368196bc9,66acd118678f39b9f03087dc,APPROVED,Not Applicable,2024-08-22T21:17:55.493000Z,2024-08-22T21:54:11.544000Z,2024-08-25T23:12:00.728000Z,2024-08-22T21:56:59.856815Z,2177.0,CJFYZJY7,121,23,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66c7ab1a5db86f058939fb59,60d7558fd3a01169626ae963,APPROVED,Not Applicable,2024-08-22T21:18:47.985000Z,2024-08-22T22:03:38.427000Z,2024-08-25T23:12:02.079000Z,2024-08-22T22:03:39.391781Z,2691.0,CJFYZJY7,3844,59,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c7ab3aa3511e0efd6d20df,66bca8c1cad01bc947d3e677,APPROVED,Not Applicable,2024-08-22T21:19:01.045000Z,2024-08-22T22:39:24.268000Z,2024-08-25T23:12:01.013000Z,2024-08-22T22:40:13.139825Z,4824.0,NOCODE,7,44,Male,Black,United States,United States,United States,English,No,Full-Time
66c7ae02195ca54368196c21,6658d49af0f0787f8c8132b9,APPROVED,Not Applicable,2024-08-22T21:30:55.486000Z,2024-08-22T22:27:45.169000Z,2024-08-25T23:12:02.334000Z,2024-08-22T22:29:08.415833Z,3410.0,CJFYZJY7,172,38,Female,Mixed,United States,United States,United States,English,No,Part-Time
66c7b16a16014b580a2c9145,6643cdda7112c02f2dbccc32,APPROVED,Not Applicable,2024-08-22T21:50:32.217000Z,2024-08-22T22:35:27.487000Z,2024-08-25T23:12:02.596000Z,2024-08-22T22:39:10.141815Z,2696.0,CJFYZJY7,310,30,Female,Mixed,United States,United States,United States,English,No,Part-Time
66c7b6a1f33f62d078c38bbe,5fd0ef1dbfdf0801f669f642,APPROVED,Not Applicable,2024-08-22T22:07:43.930000Z,2024-08-22T22:43:37.520000Z,2024-08-25T23:12:01.295000Z,2024-08-22T22:49:20.490053Z,2154.0,CJFYZJY7,2775,33,Male,Asian,United States,United States,United States,English,Yes,Full-Time
