Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66f45a9fec605f9cbabc33f8,66313fb2db12ac2ddb143245,RETURNED,Not Applicable,2024-09-25T18:47:02.603000Z,,,2024-12-10T14:30:52.068571Z,,,91,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66f45aee7061b091be285beb,667b0207aa45819cfc27e751,RETURNED,Not Applicable,2024-09-25T18:48:35.763000Z,,,2024-12-10T14:30:52.070623Z,,,59,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66f45c77f2bca2eee312a821,66d79c821d547671dbb48a7f,APPROVED,Not Applicable,2024-09-25T18:54:56.116000Z,2024-09-25T20:10:13.201000Z,2024-09-25T22:11:48.982000Z,2024-09-25T20:10:19.751441Z,4518.0,NOCODE,14,35,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
66f45d65b4384c28d54186b2,5da25f04c8c2de00139ed46b,RETURNED,Not Applicable,2024-09-25T18:58:53.216000Z,,,2024-12-10T14:30:52.072924Z,,,2554,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66f46f01222844737f3908b0,652d8a4cd08c6435db58fd9b,APPROVED,Not Applicable,2024-09-25T20:14:00.024000Z,2024-09-25T21:17:44.445000Z,2024-09-25T22:11:49.569000Z,2024-09-25T21:20:13.448537Z,3825.0,NOCODE,1784,36,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66f496d22e4e0c8e0c002c3f,65ef9e8ae3dc14f0a343022a,RETURNED,Not Applicable,2024-09-25T23:04:04.650000Z,,,2024-12-10T14:30:52.074816Z,,,828,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66f49726096952f39a536403,66f1f11446aed1ef05306c8b,APPROVED,Not Applicable,2024-09-25T23:05:18.071000Z,2024-09-25T23:54:30.917000Z,2024-09-27T17:45:57.525000Z,2024-09-25T23:54:31.616503Z,2953.0,NOCODE,23,52,Female,White,Romania,United States,United States,English,No,Full-Time
66f4a236f88efee239a83172,6659d1ba220a87b46ab7ed60,TIMED-OUT,Not Applicable,2024-09-25T23:52:29.443000Z,,,2024-12-10T14:30:52.077932Z,6532703.0,,36,30,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66f4a2465f8b2a088aa23cc5,66dccca6827a2d0559e3e706,RETURNED,Not Applicable,2024-09-25T23:52:45.616000Z,,,2024-12-10T14:30:52.077709Z,,,8,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66f4a2b294aaeae36d61f971,66b5830fb162e9d0650ff37d,APPROVED,Not Applicable,2024-09-25T23:54:32.342000Z,2024-09-26T00:27:50.800000Z,2024-09-27T17:46:00.258000Z,2024-09-26T00:27:51.637469Z,1999.0,CJFYZJY7,29,27,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
