Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66faddeb2b2c945ec978732c,66c34ed9630786ec5aece5bb,APPROVED,Not Applicable,2024-09-30T17:20:57.201000Z,2024-09-30T18:56:31.382000Z,2024-10-02T11:04:28.024000Z,2024-09-30T18:56:32.735272Z,5735.0,CJFYZJY7,148,22,Male,DATA_EXPIRED,United States,United States,DATA_EXPIRED,English,Yes,DATA_EXPIRED
66faddffe98a90820081298f,66ba4608bc582e7db54007e5,APPROVED,Not Applicable,2024-09-30T17:21:12.799000Z,2024-09-30T18:08:34.998000Z,2024-10-02T11:04:28.470000Z,2024-09-30T18:08:35.686187Z,2843.0,CJFYZJY7,188,45,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
66fade05b47535c325959f01,66be14befa189df78215d752,RETURNED,Not Applicable,2024-09-30T17:29:01.392000Z,,,2024-12-10T14:30:18.251900Z,,,115,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66fade0be0effae5cbd53823,6643670ad062f01ac1c4b788,APPROVED,Not Applicable,2024-09-30T17:21:21.540000Z,2024-09-30T18:31:52.243000Z,2024-10-02T11:04:28.772000Z,2024-09-30T18:32:33.892126Z,4231.0,CJFYZJY7,120,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66fade2cc27dc4d50e9eb08d,615e5b5f1e8fbfe2c701bc8e,APPROVED,Not Applicable,2024-09-30T17:21:57.457000Z,2024-09-30T18:03:52.223000Z,2024-10-02T11:04:32.791000Z,2024-09-30T18:07:04.882456Z,2515.0,CJFYZJY7,266,27,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED
66fade5c8614a529acae8833,66d5df2e288343b20df362d4,RETURNED,Not Applicable,2024-09-30T17:22:43.482000Z,,,2024-12-10T14:30:18.253400Z,,,453,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66fade8e680750b80259118c,66ae3fb9006e6fc44a2b56df,APPROVED,Not Applicable,2024-09-30T17:23:49.039000Z,2024-09-30T18:07:57.874000Z,2024-10-02T11:04:29.071000Z,2024-09-30T18:07:58.577689Z,2649.0,CJFYZJY7,193,28,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66fade9451463bf099f100a3,665ba7a36d036dd09e9081c2,APPROVED,Not Applicable,2024-09-30T17:23:42.671000Z,2024-09-30T18:02:17.329000Z,2024-10-02T11:04:33.093000Z,2024-09-30T18:05:31.978564Z,2315.0,CJFYZJY7,432,28,Female,White,United States,United States,United States,English,Yes,Full-Time
66fade9ee799d2f370daf5af,66f3fed9e931683984276fee,APPROVED,Not Applicable,2024-09-30T17:23:49.106000Z,2024-09-30T18:19:48.885000Z,2024-10-02T11:04:29.370000Z,2024-09-30T18:20:56.638215Z,3360.0,CJFYZJY7,1,53,Male,White,United States,United States,United States,English,No,Full-Time
66fadec9b29d1fa87d9460b3,6609e31201eebc9f6a2de74b,APPROVED,Not Applicable,2024-09-30T17:24:30.641000Z,2024-09-30T18:54:17.421000Z,2024-10-02T11:04:29.666000Z,2024-09-30T18:54:18.223354Z,5387.0,GAME 5 GLITCHED 2 TIMES BUT COMPLETED 10 MINUTES,433,19,Male,White,Spain,United States,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
