Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
675882280dd0fdd997be30e4,628d78a2ccf4a41f24c2d2d8,APPROVED,Not Applicable,2024-12-10T18:07:36.273000Z,2024-12-10T19:26:57.877000Z,2024-12-11T14:51:41.443000Z,2024-12-10T19:26:59.948485Z,4762.0,CJFYZJY7,1666,20,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6759bd564e5747ae7aecaf52,63ae2788c3e5ec6d1cfcad16,APPROVED,Not Applicable,2024-12-11T16:27:08.059000Z,2024-12-11T17:39:34.712000Z,2024-12-13T16:12:45.514000Z,2024-12-11T17:40:34.766843Z,4347.0,CJFYZJY7,2453,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6759be64c80444c969a71643,6756fab8238eea1f7eb9a243,RETURNED,Not Applicable,2024-12-11T16:32:51.017000Z,,,2025-04-11T13:48:17.304694Z,,,235,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6759c0299e69fef97b30465f,6745d70e81491af24312f4dd,RETURNED,Not Applicable,2024-12-11T16:39:14.758000Z,,,2025-04-11T13:48:17.275833Z,,,312,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6759c1c39f3bd074d91fae9b,6758251399fbdc332c621f7e,APPROVED,Not Applicable,2024-12-11T16:46:08.082000Z,2024-12-11T17:37:15.213000Z,2024-12-16T13:23:11.215000Z,2024-12-11T17:37:17.874996Z,3068.0,NOCODE,12,21,Male,Black,Ghana,United States,United States,English,Yes,Part-Time
675b0965d519fc1b0e5f1ec3,67579b182f3a6e41fb761791,APPROVED,Not Applicable,2024-12-12T16:06:20.437000Z,2024-12-12T16:55:22.424000Z,2024-12-13T16:12:45.945000Z,2024-12-12T16:55:48.020427Z,2942.0,CJFYZJY7,2,28,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
675b09d4f4bc16472e5cd362,67594446e891cd9a76235f36,APPROVED,Not Applicable,2024-12-12T16:05:48.717000Z,2024-12-12T17:50:43.810000Z,2024-12-16T13:23:11.841000Z,2024-12-12T17:51:11.126609Z,6296.0,C2LQOVW5,2,20,Male,Black,Ghana,United States,United States,English,Yes,Full-Time
675b5af1a4eadbf338a1df06,5a00f2cdff266c0001d1f42c,TIMED-OUT,Not Applicable,2024-12-12T21:52:09.709000Z,,,2025-04-11T13:48:17.262507Z,10338968.0,,763,36,Male,White,Romania,United States,Romania,Romanian,No,Full-Time
675b5b27d9faff0e68b25899,6759a46833a61fefe76b05ba,APPROVED,Not Applicable,2024-12-12T21:54:02.280000Z,2024-12-12T23:42:27.256000Z,2024-12-13T16:12:46.352000Z,2024-12-12T23:42:27.976757Z,6505.0,CJFYZJY7,12,30,Female,Black,Ghana,United States,United States,English,No,Full-Time
675b5b36ee933adf1b068256,66978d2616be96682f9f87ed,APPROVED,Not Applicable,2024-12-12T22:00:45.598000Z,2024-12-12T22:53:40.535000Z,2024-12-13T16:12:48.619000Z,2024-12-12T22:54:26.739475Z,3175.0,CJFYZJY7,76,22,Female,Asian,United States,United States,United States,Vietnamese,Yes,Part-Time
