Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68cada05fd7297f216d889a8,58f4d676c8b7eb0001879416,APPROVED,Not Applicable,2025-09-17T15:55:54.303000Z,2025-09-17T16:40:12.089000Z,2025-09-22T19:49:31.242000Z,2025-09-17T16:40:15.159724Z,2658.0,CJFYZJY7,1186,37,Female,Black,United States,United States,United States,English,No,Part-Time
68cadafbce36ea3c0ca760ee,63d71e67dd0fcccd3cc745b0,APPROVED,Not Applicable,2025-09-17T16:00:22.775000Z,2025-09-17T16:51:00.664000Z,2025-09-22T19:49:30.147000Z,2025-09-17T16:51:01.343189Z,3038.0,CJFYZJY7,6100,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68cc162f8ac84d1a0f4ef3cf,6711e09a6906af2fa5b782bd,APPROVED,Not Applicable,2025-09-18T14:25:10.191000Z,2025-09-18T15:18:20.645000Z,2025-09-22T19:49:31.505000Z,2025-09-18T15:18:21.110641Z,3191.0,CJFYZJY7,1214,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68cc17b68e5f63e10457099d,67858bcf2e9aa77b0e98dbb7,APPROVED,Not Applicable,2025-09-18T14:31:25.488000Z,2025-09-18T15:25:42.778000Z,2025-09-22T19:49:32.280000Z,2025-09-18T15:25:43.304608Z,3258.0,CJFYZJY7,892,52,Female,White,United States,United States,United States,English,No,Part-Time
68cc19052efe99110a3dca50,57d02ffb596f5d0001df741f,APPROVED,Not Applicable,2025-09-18T14:37:16.573000Z,2025-09-18T15:28:54.709000Z,2025-09-22T19:49:30.403000Z,2025-09-18T15:28:56.853544Z,3099.0,CJFYZJY7,1929,36,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68cc1e1b9e8cabe65673b540,668d3b9862f5a356423ded45,APPROVED,Not Applicable,2025-09-18T14:58:40.281000Z,2025-09-18T16:02:53.309000Z,2025-09-22T19:49:30.678000Z,2025-09-18T16:02:54.732798Z,3854.0,CJFYZJY7,569,38,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68cc21672e5ab791d82c3e9d,650b03136ab3d4c832d98b71,APPROVED,Not Applicable,2025-09-18T15:16:32.738000Z,2025-09-18T16:09:00.792000Z,2025-09-22T19:49:30.963000Z,2025-09-18T16:09:01.553080Z,3149.0,CJFYZJY7,9182,31,Male,Other,Israel,United States,United States,Hebrew,No,Part-Time
68d1afc1fd115b5aaec65a9b,667ae31217cd77ff1091dcab,APPROVED,Not Applicable,2025-09-22T20:21:33.210000Z,2025-09-22T21:21:50.260000Z,2025-09-24T16:56:23.909000Z,2025-09-22T21:21:55.757779Z,3618.0,CJFYZJY7,1145,57,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68d2cb8a79e6981d0b83427c,66e9236f775eae67be04229d,APPROVED,Not Applicable,2025-09-23T16:32:20.822000Z,2025-09-23T18:10:46.127000Z,2025-09-24T16:56:24.149000Z,2025-09-23T18:11:18.289120Z,5906.0,CJFYZJY7,1915,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68d2cccb7ca6a67fa8ba70a2,614f571879ee135c5a579e08,APPROVED,Not Applicable,2025-09-23T16:37:53.230000Z,2025-09-23T17:41:05.056000Z,2025-09-24T16:56:23.171000Z,2025-09-23T17:41:05.534638Z,3792.0,CJFYZJY7,2277,30,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
