Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68f6b06c26e66feb08ef2bc3,66ec318029fc5a15efe40c57,APPROVED,Not Applicable,2025-10-20T21:58:41.826000Z,2025-10-21T00:15:13.153000Z,2025-10-21T09:12:25.964000Z,2025-10-21T00:15:13.703107Z,8192.0,NOCODE,1278,52,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f6b9cff93e0dcace953d9f,67042cdf06ed4052bdf44c07,APPROVED,Not Applicable,2025-10-20T22:38:07.318000Z,2025-10-21T00:52:00.500000Z,2025-10-21T09:12:26.271000Z,2025-10-21T00:52:01.304823Z,8034.0,NOCODE,1123,27,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68f7ba9b690a068f135e4765,60ce89c7357eeffe77fca946,APPROVED,Not Applicable,2025-10-21T16:53:51.921000Z,2025-10-21T17:55:11.657000Z,2025-10-21T20:09:43.424000Z,2025-10-21T17:55:12.309539Z,3680.0,CJFYZJY7,3902,34,Female,White,United States,United States,United States,English,Yes,Full-Time
68f7c5f9007605bcf4eb4269,650764c3a197814ab15f8237,APPROVED,Not Applicable,2025-10-21T17:42:34.473000Z,2025-10-21T18:32:52.308000Z,2025-10-21T20:09:43.107000Z,2025-10-21T18:32:52.994866Z,3018.0,CJFYZJY7,2607,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f7e5489da7d90454bb63a0,66813c65d6816913e30341ff,APPROVED,Not Applicable,2025-10-21T19:55:58.708000Z,2025-10-21T20:56:38.483000Z,2025-10-21T21:09:53.226000Z,2025-10-21T20:56:38.978878Z,3640.0,CJFYZJY7,2214,35,Male,White,United States,United States,United States,English,No,Full-Time
68f7e59b2e1da0bc220ec877,67ed8001c2b6765fa734649d,APPROVED,Not Applicable,2025-10-21T19:57:25.065000Z,2025-10-21T21:27:46.390000Z,2025-10-22T15:24:01.563000Z,2025-10-21T21:27:46.882145Z,5422.0,CJFYZJY7,1512,46,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68f7e653b62c13f1573c9f56,5c560b6fccb08c0001e134a8,APPROVED,Not Applicable,2025-10-21T20:00:25.486000Z,2025-10-21T21:48:37.116000Z,2025-10-22T15:24:01.870000Z,2025-10-21T21:48:37.612997Z,6492.0,CJFYZJY7,6197,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f7e6e8ec620acb8903cee9,609551c1ade88f8463666fb8,APPROVED,Not Applicable,2025-10-21T20:03:02.226000Z,2025-10-21T21:03:34.206000Z,2025-10-21T21:09:53.511000Z,2025-10-21T21:03:34.710239Z,3632.0,CJFYZJY7,4385,25,Male,Asian,United States,United States,United States,Chinese,No,Full-Time
68f7eb410efec6768c8df096,5de7d7a6603b1b73f3944f8e,APPROVED,Not Applicable,2025-10-21T20:21:28.589000Z,2025-10-21T21:53:11.046000Z,2025-10-22T15:24:01.258000Z,2025-10-21T21:53:11.788441Z,5503.0,CJFYZJY7,8961,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f7ebb5ed4ef17190570334,62162ab583fc823e78c025e2,APPROVED,Not Applicable,2025-10-21T20:23:35.929000Z,2025-10-21T21:37:56.270000Z,2025-10-22T15:24:02.182000Z,2025-10-21T21:37:56.697538Z,4461.0,CJFYZJY7,7923,62,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
