,prolificID,expName,session,t,pair,choice,outcome1,outcome2,choseLeft,op1IsLeft,moveTime,fireTime,leftCount,rightCount,ev1,ev2,p1,p2,m1,m2,name1,name2,destroyed,score,datetime,opti_ss,opti_ff,opti_ev,chosen_p,chosen_m,outcome,var1,var2,riskier,chose_safe,chose_risky,trial,s,id,agent,a,r,ff1,ff2,destroy,group,delta_ev,delta_ev_scaled,delta_m,delta_p
130006,58f4d676c8b7eb0001879416,exp1B,1,0,-1.0,1,500,500.0,1,0,417.0,1.318,1.0,0.0,250,90,0.5,0.18,500,500,FFEnemyNeutral,FFEnemyNeutral,0.0,0,2025-09-17 16:01:59,0.0,0.0,False,0.18,500,0.0,62500.0,36900.0,1,1,0,0,"(500, 500)",65,58f4d676c8b7eb0001879416,1,0.0,0.0,-0.75,0.0,perceptual,160,0.4239298647481987,0.4358974358974359,0.7105263157894737
130007,58f4d676c8b7eb0001879416,exp1B,1,1,-1.0,0,500,500.0,0,0,500.0,1.201,0.0,1.0,135,310,0.27,0.62,500,500,FFEnemyNeutral,FFEnemyNeutral,1.0,500,2025-09-17 16:02:03,0.0,0.0,False,0.27,500,0.5,49275.0,58900.0,2,1,0,1,"(500, 500)",65,58f4d676c8b7eb0001879416,0,0.5,-0.5,0.25,1.0,perceptual,-175,-0.9661708141341712,0.4358974358974359,0.26973684210526316
130008,58f4d676c8b7eb0001879416,exp1B,1,2,-1.0,0,500,500.0,1,1,266.0,1.134,1.0,0.0,190,365,0.38,0.73,500,500,FFEnemyNeutral,FFEnemyNeutral,0.0,500,2025-09-17 16:02:08,0.0,0.0,False,0.38,500,0.0,58900.0,49275.0,1,0,1,2,"(500, 500)",65,58f4d676c8b7eb0001879416,0,0.0,-0.25,0.5,0.0,perceptual,-175,-0.9661708141341712,0.4358974358974359,0.26973684210526316
130009,58f4d676c8b7eb0001879416,exp1B,1,3,-1.0,1,500,500.0,1,0,483.0,0.95,1.0,0.0,190,90,0.38,0.18,500,500,FFEnemyNeutral,FFEnemyNeutral,0.0,500,2025-09-17 16:02:12,0.0,0.0,False,0.18,500,0.0,58900.0,36900.0,1,1,0,3,"(500, 500)",65,58f4d676c8b7eb0001879416,1,0.0,-0.25,-0.75,0.0,perceptual,100,0.1749566088289683,0.4358974358974359,0.631578947368421
130010,58f4d676c8b7eb0001879416,exp1B,1,4,-1.0,0,500,500.0,0,0,265.0,0.733,0.0,1.0,440,250,0.88,0.5,500,500,FFEnemyNeutral,FFEnemyNeutral,1.0,1000,2025-09-17 16:02:17,0.0,1.0,True,0.88,500,0.5,26400.0,62500.0,2,1,0,4,"(500, 500)",65,58f4d676c8b7eb0001879416,0,0.5,1.0,0.0,1.0,perceptual,190,0.548416492707814,0.4358974358974359,0.7500000000000001
130011,58f4d676c8b7eb0001879416,exp1B,1,5,-1.0,1,500,500.0,1,0,233.0,1.051,1.0,0.0,60,190,0.12,0.38,500,500,FFEnemyNeutral,FFEnemyNeutral,0.0,1000,2025-09-17 16:02:21,0.0,1.0,True,0.38,500,0.0,26400.0,58900.0,2,0,1,5,"(500, 500)",65,58f4d676c8b7eb0001879416,1,0.0,-1.0,-0.25,0.0,perceptual,-130,-0.7794408721947483,0.4358974358974359,0.32894736842105265
130012,58f4d676c8b7eb0001879416,exp1B,1,6,-1.0,0,500,500.0,0,0,267.0,0.967,0.0,1.0,310,135,0.62,0.27,500,500,FFEnemyNeutral,FFEnemyNeutral,1.0,1500,2025-09-17 16:02:26,0.0,1.0,True,0.62,500,0.5,58900.0,49275.0,1,0,1,6,"(500, 500)",65,58f4d676c8b7eb0001879416,0,0.5,0.25,-0.5,1.0,perceptual,175,0.4861731787280063,0.4358974358974359,0.7302631578947367
130013,58f4d676c8b7eb0001879416,exp1B,1,7,-1.0,1,500,500.0,0,1,233.0,0.734,0.0,1.0,60,250,0.12,0.5,500,500,FFEnemyNeutral,FFEnemyNeutral,1.0,2000,2025-09-17 16:02:30,0.0,1.0,True,0.5,500,0.5,26400.0,62500.0,2,0,1,7,"(500, 500)",65,58f4d676c8b7eb0001879416,1,0.5,-1.0,0.0,1.0,perceptual,-190,-1.0284141281139787,0.4358974358974359,0.25
130014,58f4d676c8b7eb0001879416,exp1B,1,8,-1.0,1,500,500.0,1,0,233.0,0.817,1.0,0.0,310,440,0.62,0.88,500,500,FFEnemyNeutral,FFEnemyNeutral,1.0,2500,2025-09-17 16:02:35,0.0,1.0,True,0.88,500,0.5,58900.0,26400.0,1,1,0,8,"(500, 500)",65,58f4d676c8b7eb0001879416,1,0.5,0.25,1.0,1.0,perceptual,-130,-0.7794408721947483,0.4358974358974359,0.32894736842105265
130015,58f4d676c8b7eb0001879416,exp1B,1,9,-1.0,1,500,500.0,1,0,233.0,0.801,1.0,0.0,410,440,0.82,0.88,500,500,FFEnemyNeutral,FFEnemyNeutral,1.0,3000,2025-09-17 16:02:39,0.0,1.0,True,0.88,500,0.5,36900.00000000001,26400.0,1,1,0,9,"(500, 500)",65,58f4d676c8b7eb0001879416,1,0.5,0.75,1.0,1.0,perceptual,-30,-0.36448544566269764,0.4358974358974359,0.4605263157894737
