student_id,spaceshooter_chose_best_EV_proportion,spaceshooter_score,dospert_score,holt_laury_n_risky_choices,holt_laury_choice_0,holt_laury_choice_1,holt_laury_choice_2,holt_laury_choice_3,holt_laury_choice_4,holt_laury_choice_5,holt_laury_choice_6,holt_laury_choice_7,holt_laury_choice_8,holt_laury_choice_9,dospert_q0,dospert_q1,dospert_q2,dospert_q3,dospert_q4,dospert_q5,dospert_q6,dospert_q7,dospert_q8,dospert_q9,dospert_q10,dospert_q11,dospert_q12,dospert_q13,dospert_q14,dospert_q15,dospert_q16,dospert_q17,dospert_q18,dospert_q19,dospert_q20,dospert_q21,dospert_q22,dospert_q23,dospert_q24,dospert_q25,dospert_q26,dospert_q27,dospert_q28,dospert_q29
DMUU118,0.59,50092.0,73,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5,4,1,5,1,1,3,1,1,1,3,3,1,1,1,1,2,4,3,3,5,3,1,1,2,3,5,5,2,1
DMUU871,0.7,55763.0,77,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,5,2,3,1,2,4,2,1,1,2,4,2,2,1,1,1,2,3,1,5,3,3,2,1,2,7,5,2,1
DMUU000,0.67,56001.0,97,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7,5,1,6,1,1,5,1,1,1,3,3,3,1,3,2,2,4,3,1,6,5,5,5,5,2,7,3,4,1
DMUU000,0.67,56001.0,63,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,4,4,4,4,4,4,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,1,1,2,2,2,2,1
DMUU000,0.67,56001.0,95,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6,4,1,6,3,1,5,6,1,1,1,5,4,1,1,1,1,6,5,1,2,5,1,5,5,6,6,2,2,1
DMUU000,0.67,56001.0,97,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,5,1,6,1,1,5,1,1,1,3,3,3,1,3,2,2,4,3,1,6,5,5,5,5,2,7,3,4,1
DMUU000,0.67,56001.0,63,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4,4,4,4,4,4,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,1,1,2,2,2,2,1
DMUU000,0.67,56001.0,95,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,4,1,6,3,1,5,6,1,1,1,5,4,1,1,1,1,6,5,1,2,5,1,5,5,6,6,2,2,1
DMUU000,0.67,56001.0,97,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7,5,1,6,1,1,5,1,1,1,3,3,3,1,3,2,2,4,3,1,6,5,5,5,5,2,7,3,4,1
DMUU000,0.67,56001.0,63,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4,4,4,4,4,4,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,1,1,2,2,2,2,1
DMUU000,0.67,56001.0,95,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6,4,1,6,3,1,5,6,1,1,1,5,4,1,1,1,1,6,5,1,2,5,1,5,5,6,6,2,2,1
