"id","prolificID","expName","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28","q29","timestamp","created_at"
"1","random-2385761960","FullPilot12_2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2025-10-14T09:36:45.427Z","2025-10-14 09:36:45"
"2","random-7580785173","FullPilot12_2","4","2","5","3","6","3","5","3","2","3","5","4","6","4","2","3","4","5","3","4","5","5","3","2","3","6","5","3","2","3","2025-11-04T10:01:39.362Z","2025-11-04 10:01:39"
"3","DMUU118","FullPilot12_2","5","4","1","5","1","1","3","1","1","1","3","3","1","1","1","1","2","4","3","3","5","3","1","1","2","3","5","5","2","1","2025-11-12T21:09:31.796Z","2025-11-12 21:09:32"
"4","DMUU871","FullPilot12_2","6","5","2","3","1","2","4","2","1","1","2","4","2","2","1","1","1","2","3","1","5","3","3","2","1","2","7","5","2","1","2025-11-13T23:04:39.782Z","2025-11-13 23:04:40"
"5","249","FullPilot12_2","7","5","2","3","1","2","6","2","5","1","5","1","3","1","2","1","4","1","7","6","7","2","4","6","2","7","7","7","2","6","2025-11-14T13:31:18.137Z","2025-11-14 13:31:18"
"6","DMUU000","FullPilot12_2","7","5","1","6","1","1","5","1","1","1","3","3","3","1","3","2","2","4","3","1","6","5","5","5","5","2","7","3","4","1","2025-11-15T12:33:27.455Z","2025-11-15 12:33:27"
"7","DMUU029","FullPilot12_2","7","3","2","7","5","5","6","2","2","1","6","3","6","2","2","2","2","3","5","2","6","6","3","4","7","5","7","4","2","2","2025-11-15T13:36:10.808Z","2025-11-15 13:36:11"
"8","DMUU991","FullPilot12_2","7","6","1","7","1","1","5","1","2","2","4","2","4","1","3","2","3","4","4","1","6","4","4","4","4","2","7","4","4","1","2025-11-15T13:37:35.250Z","2025-11-15 13:37:35"
"9","DMUU260","FullPilot12_2","5","5","1","4","1","1","2","1","1","1","1","7","1","1","2","5","1","2","2","1","6","5","2","1","3","1","6","5","2","1","2025-11-15T14:45:03.724Z","2025-11-15 14:45:04"
"10","DMUU586","FullPilot12_2","5","5","2","5","2","2","4","1","1","1","1","4","1","4","1","1","3","5","1","3","5","4","3","1","1","2","5","5","1","1","2025-11-15T20:17:30.628Z","2025-11-15 20:17:30"
"11","DMUU000","FullPilot12_2","5","4","4","4","4","4","4","3","1","1","1","1","1","3","1","3","1","1","1","1","1","1","2","1","1","2","2","2","2","1","2025-11-15T23:27:01.738Z","2025-11-15 23:27:02"
"12","random-7204542491","FullPilot12_2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2025-11-16T09:00:53.332Z","2025-11-16 09:00:53"
"13","DMUU458","FullPilot12_2","6","7","1","7","1","3","7","1","1","1","6","7","5","1","1","2","1","7","4","1","7","7","1","1","7","3","7","7","3","5","2025-11-16T09:51:29.064Z","2025-11-16 09:51:29"
"14","DMUU120","FullPilot12_2","5","2","3","5","2","4","5","6","5","1","6","5","2","5","5","1","3","4","5","1","6","5","7","7","5","2","6","4","3","1","2025-11-16T14:44:50.458Z","2025-11-16 14:44:50"
"15","DMUU842","FullPilot12_2","7","1","1","7","1","4","4","1","1","2","1","5","1","3","1","1","3","3","1","1","2","4","2","1","4","1","7","5","4","1","2025-11-16T16:21:02.422Z","2025-11-16 16:21:02"
